"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87","Get and set configuration options","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.config()","",""
"","66",".parent() - get parent DOM element from DOM elements","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","76","yields the value yielded by the last Cypress command inside","Connectors","2026-07-13","passed","2026-07-13","",".then()","",""
"","149","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-07-13","passed","2026-07-13","","","",""
"","83","cy.document() - get the document object","Window","2026-07-13","passed","2026-07-13","","","",""
"","89",".invoke() - invoke a function on the current subject","Connectors","2026-07-13","passed","2026-07-13","","","",""
"","102","cy.contains() - query DOM elements with matching content","Querying","2026-07-13","passed","2026-07-13","","","",""
"","80","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-07-13","passed","2026-07-13","","","",""
"","78",".siblings() - get all sibling DOM elements","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","426","cy.clearCookie() - clear a browser cookie","Cookies","2026-07-13","passed","2026-07-13","","","",""
"","87",".eq() - get a DOM element at a specific index","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","77","Get environment variables","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.env()","",""
"","349",".submit() - submit a form","Actions","2026-07-13","passed","2026-07-13","","","",""
"","398","cy.intercept() - route responses to matching requests","Network Requests","2026-07-13","passed","2026-07-13","","","",""
"","85","pass your own callback function to should()","Assertions","2026-07-13","passed","2026-07-13","","Explicit Assertions","",""
"","203","cy.hash() - get the current URL hash","Location","2026-07-13","passed","2026-07-13","","","",""
"","3563",".type() - type into a DOM element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","73","Get current version of Cypress being run","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.version","",""
"","177","Cypress.$ - call a jQuery method","Utilities","2026-07-13","passed","2026-07-13","","","",""
"","151","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-07-13","passed","2026-07-13","","","",""
"","286","cy.getCookie() - get a browser cookie","Cookies","2026-07-13","passed","2026-07-13","","","",""
"","81","cy.root() - query the root DOM element","Querying","2026-07-13","passed","2026-07-13","","","",""
"","77",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.dom","",""
"","71",".parents() - get parent DOM elements from DOM elements","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","83",".find() - get descendant DOM elements of the selector","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","293","cy.visit() - visit a remote url","Navigation","2026-07-13","passed","2026-07-13","","","",""
"","86",".its() - get properties on the current subject","Connectors","2026-07-13","passed","2026-07-13","","","",""
"","70",".spread() - spread an array as individual args to callback function","Connectors","2026-07-13","passed","2026-07-13","","","",""
"","353","cy.reload() - reload the page","Navigation","2026-07-13","passed","2026-07-13","","","",""
"","240","cy.focused() - get the DOM element that has focus","Misc","2026-07-13","passed","2026-07-13","","","",""
"","156","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-07-13","passed","2026-07-13","","","",""
"","93","cy.readFile() - read file contents","Files","2026-07-13","passed","2026-07-13","","","",""
"","72",".first() - get first DOM element","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","437","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-07-13","passed","2026-07-13","","","",""
"","207",".add() - create a custom command","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.Commands","",""
"","156","can check off an item as completed","example to-do app","2026-07-13","passed","2026-07-13","","","",""
"","228","cy.get() - query DOM elements","Querying","2026-07-13","passed","2026-07-13","","","",""
"","71","Get underlying OS name","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.platform","",""
"","233","can filter for completed tasks","example to-do app","2026-07-13","passed","2026-07-13","","with a checked task","",""
"","245",".should() - make an assertion about the current subject","Assertions","2026-07-13","passed","2026-07-13","","Implicit Assertions","",""
"","73","yields the returned value to the next command","Connectors","2026-07-13","passed","2026-07-13","",".then()","",""
"","80",".filter() - get DOM elements that match the selector","Traversal","2026-07-13","passed","2026-07-13","","","",""
"","72","Get current spec information","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.spec","",""
"","16","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-07-13","passed","2026-07-13","","","",""
"","239","cy.request() - pass result to the second request","Network Requests","2026-07-13","passed","2026-07-13","","","",""
"","88","Control what is printed to the Command Log","Cypress APIs","2026-07-13","passed","2026-07-13","","Cypress.log","",""
"","85","invokes a callback function with the current subject","Connectors","2026-07-13","passed","2026-07-13","",".then()","",""
"","74","cy.wrap() - wrap an object","Misc","2026-07-13","passed","2026-07-13","","","",""
"","88",".and() - chain multiple assertions together","Assertions","2026-07-13","passed","2026-07-13","","Implicit Assertions","",""
"","812","cy.go() - go back or forward in the browser's history","Navigation","2026-07-13","passed","2026-07-13","","","",""
"","2717","cy.viewport() - set the viewport size and dimension","Viewport","2026-07-13","passed","2026-07-13","","","",""
"","153","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-07-13","passed","2026-07-13","","","",""
"","108",".trigger() - trigger an event on a DOM element","Actions","2026-07-13","passed","2026-07-13","","","",""
"","238","cy.request() - save response in the shared test context","Network Requests","2026-07-13","passed","2026-07-13","","","",""
